[20210523 17:51:37 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:51:38 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:38 INFO root] CLoginServer::Run: Tick = 403 > 100
[20210523 17:51:39 INFO root] CLoginServer::Run: Tick = 223 > 100
[20210523 17:51:40 INFO root] CLoginServer::Run: Tick = 155 > 100
[20210523 17:51:40 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:51:40 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:51:42 INFO root] CLoginServer::Run: Tick = 120 > 100
[20210523 17:51:42 INFO root] CLoginServer::Run: Tick = 196 > 100
[20210523 17:51:43 INFO root] CLoginServer::Run: Tick = 399 > 100
[20210523 17:51:43 INFO root] CLoginServer::Run: Tick = 333 > 100
[20210523 17:51:44 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:51:44 INFO root] CLoginServer::Run: Tick = 152 > 100
[20210523 17:51:44 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:51:45 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:51:46 INFO root] CLoginServer::Run: Tick = 200 > 100
[20210523 17:51:46 INFO root] CLoginServer::Run: Tick = 399 > 100
[20210523 17:51:47 INFO root] CLoginServer::Run: Tick = 219 > 100
[20210523 17:51:48 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:51:48 INFO root] CLoginServer::Run: Tick = 228 > 100
[20210523 17:51:49 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:51:50 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:51:50 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:51 INFO root] CLoginServer::Run: Tick = 358 > 100
[20210523 17:51:52 INFO root] CLoginServer::Run: Tick = 258 > 100
[20210523 17:51:52 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:51:52 INFO root] CLoginServer::Run: Tick = 116 > 100
[20210523 17:51:52 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:51:53 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:51:54 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:51:55 INFO root] CLoginServer::Run: Tick = 362 > 100
[20210523 17:51:55 INFO root] CLoginServer::Run: Tick = 106 > 100
[20210523 17:51:55 INFO root] CLoginServer::Run: Tick = 343 > 100
[20210523 17:51:56 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:51:56 INFO root] CLoginServer::Run: Tick = 154 > 100
[20210523 17:51:57 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:51:58 INFO root] CLoginServer::Run: Tick = 120 > 100
[20210523 17:51:58 INFO root] CLoginServer::Run: Tick = 190 > 100
[20210523 17:51:59 INFO root] CLoginServer::Run: Tick = 395 > 100
[20210523 17:51:59 INFO root] CLoginServer::Run: Tick = 272 > 100
[20210523 17:51:59 INFO root] CLoginServer::Run: Tick = 155 > 100
[20210523 17:52:00 INFO root] CLoginServer::Run: Tick = 149 > 100
[20210523 17:52:00 INFO root] CLoginServer::Run: Tick = 124 > 100
[20210523 17:52:01 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:52:02 INFO root] CLoginServer::Run: Tick = 160 > 100
[20210523 17:52:02 INFO root] CLoginServer::Run: Tick = 438 > 100
[20210523 17:52:03 INFO root] server tick time = 62 [62] [0]
[20210523 17:52:03 INFO root] CLoginServer::Run: Tick = 233 > 100
[20210523 17:52:04 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:52:04 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:52:04 INFO root] server tick time = 77 [0] [0]
[20210523 17:52:04 INFO root] CLoginServer::Run: Tick = 204 > 100
[20210523 17:52:05 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:52:06 INFO root] CLoginServer::Run: Tick = 195 > 100
[20210523 17:52:07 INFO root] CLoginServer::Run: Tick = 395 > 100
[20210523 17:52:07 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:52:07 INFO root] CLoginServer::Run: Tick = 245 > 100
[20210523 17:52:08 INFO root] CLoginServer::Run: Tick = 152 > 100
[20210523 17:52:08 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:52:08 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:52:09 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:52:10 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:52:11 INFO root] CLoginServer::Run: Tick = 196 > 100
[20210523 17:52:11 INFO root] CLoginServer::Run: Tick = 359 > 100
[20210523 17:52:12 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:12 INFO root] CLoginServer::Run: Tick = 220 > 100
[20210523 17:52:13 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:52:13 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:52:13 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:52:13 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:52:14 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:52:15 INFO root] CLoginServer::Run: Tick = 120 > 100
[20210523 17:52:15 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:52:15 INFO root] CLoginServer::Run: Tick = 198 > 100
[20210523 17:52:16 INFO root] CLoginServer::Run: Tick = 398 > 100
[20210523 17:52:16 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:52:16 INFO root] CLoginServer::Run: Tick = 219 > 100
[20210523 17:52:17 INFO root] CLoginServer::Run: Tick = 198 > 100
[20210523 17:52:17 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:52:17 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:19 INFO root] CLoginServer::Run: Tick = 120 > 100
[20210523 17:52:19 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:52:20 INFO root] CLoginServer::Run: Tick = 356 > 100
[20210523 17:52:20 INFO root] CLoginServer::Run: Tick = 219 > 100
[20210523 17:52:21 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:52:21 INFO root] CLoginServer::Run: Tick = 157 > 100
[20210523 17:52:21 INFO root] CLoginServer::Run: Tick = 163 > 100
[20210523 17:52:22 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:52:23 INFO root] CLoginServer::Run: Tick = 120 > 100
[20210523 17:52:23 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:52:24 INFO root] CLoginServer::Run: Tick = 395 > 100
[20210523 17:52:24 INFO root] CLoginServer::Run: Tick = 121 > 100
[20210523 17:52:24 INFO root] CLoginServer::Run: Tick = 374 > 100
[20210523 17:52:25 INFO root] CLoginServer::Run: Tick = 152 > 100
[20210523 17:52:25 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:52:25 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:52:25 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:52:26 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:27 INFO root] CLoginServer::Run: Tick = 159 > 100
[20210523 17:52:27 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:52:28 INFO root] CLoginServer::Run: Tick = 356 > 100
[20210523 17:52:28 INFO root] CLoginServer::Run: Tick = 325 > 100
[20210523 17:52:29 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:52:29 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:52:29 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:52:30 INFO root] CLoginServer::Run: Tick = 161 > 100
[20210523 17:52:30 INFO root] CLoginServer::Run: Tick = 158 > 100
[20210523 17:52:31 INFO root] CLoginServer::Run: Tick = 243 > 100
[20210523 17:52:31 INFO root] CLoginServer::Run: Tick = 397 > 100
[20210523 17:52:32 INFO root] CLoginServer::Run: Tick = 259 > 100
[20210523 17:52:32 INFO root] CLoginServer::Run: Tick = 155 > 100
[20210523 17:52:33 INFO root] CLoginServer::Run: Tick = 152 > 100
[20210523 17:52:33 INFO root] CLoginServer::Run: Tick = 123 > 100
[20210523 17:52:34 INFO root] CLoginServer::Run: Tick = 119 > 100
[20210523 17:52:34 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:35 INFO root] CLoginServer::Run: Tick = 199 > 100
[20210523 17:52:35 INFO root] CLoginServer::Run: Tick = 399 > 100
[20210523 17:52:36 INFO root] server tick time = 119 [119] [0]
[20210523 17:52:36 INFO root] CLoginServer::Run: Tick = 200 > 100
[20210523 17:52:36 INFO root] CLoginServer::Run: Tick = 261 > 100
[20210523 17:52:36 INFO root] CLoginServer::Run: Tick = 156 > 100
[20210523 17:52:37 INFO root] CLoginServer::Run: Tick = 153 > 100
[20210523 17:52:37 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:52:37 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:37 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:38 INFO root] CLoginServer::Run: Tick = 118 > 100
[20210523 17:52:38 INFO root] CLoginServer::Run: Tick = 122 > 100
[20210523 17:52:39 INFO root] CLoginServer::Run: Tick = 196 > 100
[20210523 17:52:39 INFO root] CLoginServer::Run: Tick = 402 > 100
[20210523 17:52:39 INFO root] CLoginServer::Run: Tick = 118 > 100
